"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4327","transferData_successful_notReturnOriginalSourceResponseCode_withTerminate()","","Mon May 04 06:22:19 UTC 2026","passed","Mon May 04 06:22:24 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest.Dsp2025to2025","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest$Dsp2025to2025","transferData_successful_notReturnOriginalSourceResponseCode_withTerminate"
"","38","Policy is not accepted because definition is not correct ""Usage policy prohibition with not allowed constraints""","","Mon May 04 06:19:26 UTC 2026","passed","Mon May 04 06:19:26 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidPolicyDefinitions"
"","2433","The refresh token does not match the stored one","","Mon May 04 06:19:20 UTC 2026","passed","Mon May 04 06:19:23 UTC 2026","","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","refresh_withWrongRefreshToken"
"","4569","transferData_success_withProxyOriginalResponse()","","Mon May 04 06:20:56 UTC 2026","passed","Mon May 04 06:21:00 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest.Dsp08to08","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest$Dsp08to08","transferData_success_withProxyOriginalResponse"
"","15330","transferData_withTerminate()","","Mon May 04 06:21:49 UTC 2026","passed","Mon May 04 06:22:04 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest.Dsp2025to2025","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest$Dsp2025to2025","transferData_withTerminate"
"","72","5.4.2.2 Verifier should accept a presentation response message that contains more credentials than requested","","Mon May 04 06:18:57 UTC 2026","passed","Mon May 04 06:18:57 UTC 2026","","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection5Test","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection5Test","verifier_05_04_02_02_presentationResponse_tooManyCredentials"
"","49","Policy is not accepted due to missing context ""Warranty Duration Months""","","Mon May 04 06:19:27 UTC 2026","passed","Mon May 04 06:19:27 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidNamespacePolicyDefinitions"
"","2458","shouldDelegateAuth()","","Mon May 04 06:19:47 UTC 2026","passed","Mon May 04 06:19:49 UTC 2026","","org.eclipse.tractusx.edc.tests.auth.DelegatedAuthEndToEndTest","org.eclipse.tractusx.edc.tests.auth.DelegatedAuthEndToEndTest","shouldDelegateAuth"
"","35","Policy is not accepted due to missing context ""Business Partner Number""","","Mon May 04 06:19:28 UTC 2026","passed","Mon May 04 06:19:28 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidNamespacePolicyDefinitions"
"","77","4.3.1 Verifier should reject an ID token that does not contain an access token","","Mon May 04 06:18:56 UTC 2026","passed","Mon May 04 06:18:56 UTC 2026","","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection4Test","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection4Test","verifier_04_03_01_presentationResponse_idTokenNoTokenClaim"
"","3182","transferData_privateBackend()","","Mon May 04 06:21:30 UTC 2026","passed","Mon May 04 06:21:33 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest.Dsp2025to2025","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest$Dsp2025to2025","transferData_privateBackend"
"","2673","The Authorization header is missing","","Mon May 04 06:19:08 UTC 2026","passed","Mon May 04 06:19:10 UTC 2026","","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","refresh_missingAuthHeader"
"","47","Policy is accepted ""Empty Policy""","","Mon May 04 06:19:26 UTC 2026","passed","Mon May 04 06:19:26 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","4942","transferData_privateBackend()","","Mon May 04 06:20:49 UTC 2026","passed","Mon May 04 06:20:54 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.DivConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.DivConsumerPullTest","transferData_privateBackend"
"","7537","transferData_withAutomaticRefresh()","","Mon May 04 06:23:59 UTC 2026","passed","Mon May 04 06:24:07 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.TransferWithTokenRefreshTest","org.eclipse.tractusx.edc.tests.transfer.TransferWithTokenRefreshTest","transferData_withAutomaticRefresh"
"","55","Policy is accepted ""Warranty Duration Months""","","Mon May 04 06:19:25 UTC 2026","passed","Mon May 04 06:19:25 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","32","Policy is not accepted due to missing context ""MembershipCredential""","","Mon May 04 06:19:27 UTC 2026","passed","Mon May 04 06:19:27 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidNamespacePolicyDefinitions"
"","944","triggerDataTransfer_shouldFail_whenDataFlowIsNotPushFlowType()","","Mon May 04 06:19:32 UTC 2026","passed","Mon May 04 06:19:33 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.DataFlowApiEndToEndTest","org.eclipse.tractusx.edc.tests.transfer.DataFlowApiEndToEndTest","triggerDataTransfer_shouldFail_whenDataFlowIsNotPushFlowType"
"","33410","shouldTerminateTransfer_whenDataUsageEndDatePolicyExpires()","","Mon May 04 06:20:20 UTC 2026","passed","Mon May 04 06:20:53 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyMonitorEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyMonitorEndToEndTest","shouldTerminateTransfer_whenDataUsageEndDatePolicyExpires"
"","5139","httpPushDataTransfer()","","Mon May 04 06:23:27 UTC 2026","passed","Mon May 04 06:23:32 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.TransferPushEndToEndTest.Dsp2025to2025","org.eclipse.tractusx.edc.tests.transfer.TransferPushEndToEndTest$Dsp2025to2025","httpPushDataTransfer"
"","2868","transferFile_azureToS3MultipleFiles(Vault)","","Mon May 04 06:20:22 UTC 2026","passed","Mon May 04 06:20:25 UTC 2026","","org.eclipse.tractusx.edc.dataplane.transfer.test.MultiCloudTest","org.eclipse.tractusx.edc.dataplane.transfer.test.MultiCloudTest","transferFile_azureToS3MultipleFiles"
"","38","Policy is not accepted due to missing context ""Data Frequency""","","Mon May 04 06:19:27 UTC 2026","passed","Mon May 04 06:19:27 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidNamespacePolicyDefinitions"
